Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000177565 TBL1XR1 AD
ENSG00000114450 GNB4 AD
ENSG00000136522 MRPL47 Mi
ENSG00000205981 DNAJC19 AR
ENSG00000181449 SOX2 AD
ENSG00000078070 MCCC1 AR
ENSG00000114796 KLHL24 AD
ENSG00000145191 EIF2B5 AR
ENSG00000161202 DVL3 AD
ENSG00000214160 ALG3 AR
ENSG00000114867 EIF4G1 AD
ENSG00000114859 CLCN2 AD,AR
ENSG00000090534 THPO AD
ENSG00000113790 EHHADH AD
ENSG00000163898 LIPH AR
ENSG00000073792 IGF2BP2 AD
ENSG00000213139 CRYGS AD
ENSG00000113905 HRG AD
